Image;SquareIndex;ObjectInSquare;Area_px;Area_mm2;Scale;X;Y
P1012185.JPG;4;1;6764;35.8285;0.07278;713.9749;519.8921
P1012186.JPG;1;1;6230;33;0.07278;794.7286;1110.5811
P1012186.JPG;2;1;6667;35.3147;0.07278;444.5199;899.0206
P1012186.JPG;3;1;6073;32.1684;0.07278;444.6706;569.5524
P1012186.JPG;6;1;6303;33.3867;0.07278;688.1619;728.7884
P1012186.JPG;5;1;7769;41.152;0.07278;473.9929;487.3337
P1012186.JPG;4;1;6874;36.4112;0.07278;470.2811;548.7299
P1012187.JPG;1;1;1599;8.4698;0.07278;566.0216;736.9803
P1012187.JPG;2;1;5420;28.7095;0.07278;650.4098;769.2445
P1012188.JPG;1;1;5370;28.4446;0.07278;636.4255;540.8935
P1012188.JPG;2;1;6507;34.4672;0.07278;731.1594;888.8555
P1012188.JPG;3;1;4996;26.4635;0.07278;500.6313;782.5629
P1012188.JPG;6;1;7630;40.4157;0.07278;672.5603;798.1035
P1012188.JPG;5;1;5972;31.6334;0.07278;679.9283;691.4365
P1012188.JPG;4;1;3791;20.0807;0.07278;711.079;528.5947
P1012189.JPG;2;1;4320;22.8828;0.07278;514.0438;475.0229
P1012189.JPG;3;1;6109;32.359;0.07278;571.4861;700.7807
P1012189.JPG;1;1;4771;25.2717;0.07278;772.98;822.0458
P1012189.JPG;4;1;7182;38.0427;0.07278;562.3709;497.8085
P1012190.JPG;1;1;7331;38.8319;0.07278;885.8432;848.0801
P1012190.JPG;2;1;6759;35.8021;0.07278;660.2017;674.1026
P1012190.JPG;3;1;3592;19.0266;0.07278;752.7453;756.6506
P1012190.JPG;6;1;7366;39.0173;0.07278;646.3375;1024.4958
P1012190.JPG;5;1;5531;29.2974;0.07278;312.2765;748.8046
P1012190.JPG;4;1;5721;30.3038;0.07278;479.5467;717.783
P1012191.JPG;1;1;5944;31.4851;0.07278;742.2476;642.1507
P1012191.JPG;2;1;3065;16.2351;0.07278;688.6302;645.9897
P1012191.JPG;3;1;6215;32.9205;0.07278;488.0876;403.1949
P1012191.JPG;5;1;4922;26.0716;0.07278;778.3939;633.4809
P1012191.JPG;4;1;7825;41.4486;0.07278;419.4958;614.1826
P1012192.JPG;3;1;2823;14.9533;0.07278;768.9307;748.1709
P1012192.JPG;2;1;7429;39.351;0.07278;572.6762;754.1666
P1012192.JPG;1;1;7035;37.264;0.07278;929.2109;571.7904
P1012192.JPG;6;1;6708;35.5319;0.07278;745.9535;685.4395
P1012192.JPG;5;1;2874;15.2234;0.07278;650.1496;558.436
P1012192.JPG;4;1;8543;45.2518;0.07278;960.2195;720.7151
P1012193.JPG;1;1;4504;23.8574;0.07278;748.2145;843.3262
P1012193.JPG;2;1;4992;26.4424;0.07278;695.2981;723.0561
P1012193.JPG;3;1;7165;37.9526;0.07278;483.8901;807.632
P1012196.JPG;1;1;2091;11.0437;0.07267;557.6267;804.1408
P1012196.JPG;2;1;2152;11.3658;0.07267;493.5925;921.5553
P1012196.JPG;3;1;3540;18.6966;0.07267;862.0311;786.5136
P1012196.JPG;6;1;4085;21.575;0.07267;658.6077;869.83
P1012196.JPG;5;1;1345;7.1037;0.07267;791.497;749.9186
P1012196.JPG;4;1;1038;5.4822;0.07267;540.2861;448.0829
P1012197.JPG;1;1;7361;38.8773;0.07267;269.0702;684.5675
P1012197.JPG;2;1;2181;11.519;0.07267;445.411;548.9796
P1012197.JPG;3;1;1540;8.1336;0.07267;524.1532;796.8636
P1012198.JPG;1;1;3377;17.8357;0.07267;689.9617;657.3431
P1012198.JPG;2;1;3599;19.0082;0.07267;870.6598;578.5378
P1012198.JPG;3;1;4066;21.4747;0.07267;342.9909;465.3141
P1012198.JPG;6;1;2901;15.3217;0.07267;470.8592;731.3935
P1012198.JPG;4;1;2925;15.4485;0.07267;682.4494;569.526
P1012198.JPG;5;1;602;3.179119198;0.07267;529.776;757.912
P1012199.JPG;1;1;2354;12.4327;0.07267;742.4146;934.3008
P1012199.JPG;2;1;2495;13.1774;0.07267;729.7565;1028.3281
P1012199.JPG;3;1;949;5.0122;0.07267;532.7824;697.2576
P1012199.JPG;4;1;1106;5.8414;0.07267;402.7505;424.2251
P1012200.JPG;1;1;4805;25.3777;0.07267;728.8103;476.2388
P1012200.JPG;2;1;3757;19.8427;0.07267;502.6765;776.2144
P1012200.JPG;3;1;3785;19.9906;0.07267;589.1848;773.8498
P1012200.JPG;6;1;4348;22.9641;0.07267;353.3958;431.3137
P1012200.JPG;4;1;3014;15.9185;0.07267;533.0216;746.5305
P1012200.JPG;5;1;4949;26.1383;0.07267;475.2959;785.5156
P1012201.JPG;1;1;5100;26.9358;0.07267;988.2447;439.8816
P1012201.JPG;2;1;5327;28.1347;0.07267;592.2638;722.9338
P1012202.JPG;1;1;5377;28.3988;0.07267;669.7851;924.243
P1012202.JPG;2;1;8656;45.7169;0.07267;630.6208;754.6567
P1012202.JPG;3;1;4362;23.038;0.07267;499.1412;630.1146
P1012202.JPG;6;1;4004;21.1472;0.07267;758.524;564.0697
P1012202.JPG;5;1;5618;29.6716;0.07267;640.2019;587.2583
P1012202.JPG;4;1;5463;28.853;0.07267;689.2377;962.7931
P1012203.JPG;1;1;4241;22.399;0.07267;509.4795;884.6618
P1012203.JPG;2;1;3411;18.0153;0.07267;462.0119;711.3232
P1012203.JPG;3;1;6506;34.3616;0.07267;648.3978;653.1067
P1012204.JPG;1;1;7141;37.7154;0.07267;797.9533;739.8658
P1012204.JPG;2;1;7738;40.8685;0.07267;555.4773;904.854
P1012204.JPG;3;1;4365;23.0539;0.07267;542.4354;677.3353
P1012204.JPG;6;1;5993;31.6522;0.07267;450.7019;720.53
P1012204.JPG;5;1;4617;24.3848;0.07267;392.8927;772.1541
P1012204.JPG;4;1;7571;39.9864;0.07267;419.7351;569.1302
P1012205.JPG;1;1;2730;14.4186;0.07267;925.9505;781.889
P1012205.JPG;2;1;5130;27.0942;0.07267;775.7265;1008.7912
P1012205.JPG;3;1;6234;32.925;0.07267;486.3835;803.4482
P1012205.JPG;6;1;3662;19.3409;0.07267;730.9749;542.5164
P1012205.JPG;5;1;5945;31.3987;0.07267;978.905;800.7784
P1012205.JPG;4;1;3284;17.3445;0.07267;622.2183;514.8983
P1012206.JPG;1;1;2604;13.7531;0.07267;596.8341;883.8164
P1012206.JPG;2;1;2283;12.0577;0.07267;588.2551;1066.147
P1012206.JPG;3;1;3678;19.4255;0.07267;693.6794;496.5821
P1012206.JPG;6;1;3838;20.2705;0.07267;462.8791;583.0659
P1012206.JPG;5;1;3255;17.1914;0.07267;669.335;614.9651
P1012206.JPG;4;1;3807;20.1068;0.07267;594.8367;857.0511
P1012207.JPG;1;1;2304;12.1686;0.07267;638.079;491.9002
P1012207.JPG;3;1;649;3.4277;0.07267;757.5293;937.4908
P1012207.JPG;2;1;1178;6.2216;0.07267;657.0535;774.5
P1012207.JPG;6;1;5225;27.596;0.07267;470.9456;737.0989
P1012207.JPG;5;1;964;5.0914;0.07267;874.4741;712.7552
P1012207.JPG;4;1;1881;9.9346;0.07267;539.4543;956.1528
